county,account_number,name,street,city,state,zip,phone,materials,lat,lng,google_place_id,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun,drop_off_notes,raw_json
San Diego,41922,The Home Depot,525 Saturn Blvd,San Diego,CA,92154-4731,619-575-1900,rechargeable,32.5869659,-117.0917329,ChIJP-FMKD1M2YARaSxVO-I48mE,,,,,,,,,"{""businessName"": ""The Home Depot"", ""accountNumber"": ""41922"", ""acceptedMaterials"": ""rechargeable"", ""addressStreet"": ""525 Saturn Blvd"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92154-4731"", ""addressLatitude"": ""32.5869659"", ""addressLongitude"": ""-117.0917329"", ""mainPhone"": ""619-575-1900"", ""googlePlaceID"": ""ChIJP-FMKD1M2YARaSxVO-I48mE"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,222678,Bicycle Warehouse Chula Vista,3513 MAIN ST,Chula Vista,CA,91911,619-498-4900,ebike,32.5942509,-117.0575526,ChIJFWOrF5VO2YARO6nizRJI33w,,,,,,,,,"{""businessName"": ""Bicycle Warehouse Chula Vista"", ""accountNumber"": ""222678"", ""acceptedMaterials"": ""ebike"", ""addressStreet"": ""3513 MAIN ST"", ""addressCity"": ""CHULA VISTA"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""91911"", ""addressLatitude"": ""32.5942509"", ""addressLongitude"": ""-117.0575526"", ""mainPhone"": ""619-498-4900"", ""googlePlaceID"": ""ChIJFWOrF5VO2YARO6nizRJI33w"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,41926,The Home Depot,950 Dennery Rd,San Diego,CA,92154-8471,619-428-8662,rechargeable,32.5763414,-117.0374144,ChIJJwt_tNRO2YAReIFwF-xrOS4,,,,,,,,,"{""businessName"": ""The Home Depot"", ""accountNumber"": ""41926"", ""acceptedMaterials"": ""rechargeable"", ""addressStreet"": ""950 Dennery Rd"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92154-8471"", ""addressLatitude"": ""32.5763414"", ""addressLongitude"": ""-117.0374144"", ""mainPhone"": ""619-428-8662"", ""googlePlaceID"": ""ChIJJwt_tNRO2YAReIFwF-xrOS4"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,41920,The Home Depot,725 Plaza Ct,Chula Vista,CA,91910-7806,161-965-6346,rechargeable,32.6372456,-117.0319627,ChIJ0diM1kpO2YARKnvoVyU2ScA,,,,,,,,,"{""businessName"": ""The Home Depot"", ""accountNumber"": ""41920"", ""acceptedMaterials"": ""rechargeable"", ""addressStreet"": ""725 Plaza Ct"", ""addressCity"": ""Chula Vista"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""91910-7806"", ""addressLatitude"": ""32.6372456"", ""addressLongitude"": ""-117.0319627"", ""mainPhone"": ""161-965-6346"", ""googlePlaceID"": ""ChIJ0diM1kpO2YARKnvoVyU2ScA"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,219190,Trek Bicycle South Bay - San Diego,3901 Bonita Rd,Bonita,CA,91902,619-216-9123,ebike,32.6569223,-117.0430862,ChIJpZQdbChO2YARtKxVcBXhpGs,,,,,,,,,"{""businessName"": ""Trek Bicycle South Bay - San Diego"", ""accountNumber"": ""219190"", ""acceptedMaterials"": ""ebike"", ""addressStreet"": ""3901 Bonita Rd"", ""addressCity"": ""Bonita"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""91902"", ""addressLatitude"": ""32.6569223"", ""addressLongitude"": ""-117.0430862"", ""mainPhone"": ""619-216-9123"", ""googlePlaceID"": ""ChIJpZQdbChO2YARtKxVcBXhpGs"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,208227,Trek Bicycle South Bay,3901 Bonita Rd,Bonita,CA,91902,619-216-9123,ebike,32.6569223,-117.0430862,ChIJpZQdbChO2YARtKxVcBXhpGs,,,,,,,,,"{""businessName"": ""Trek Bicycle South Bay"", ""accountNumber"": ""208227"", ""acceptedMaterials"": ""ebike"", ""addressStreet"": ""3901 Bonita Rd"", ""addressCity"": ""Bonita"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""91902"", ""addressLatitude"": ""32.6569223"", ""addressLongitude"": ""-117.0430862"", ""mainPhone"": ""619-216-9123"", ""googlePlaceID"": ""ChIJpZQdbChO2YARtKxVcBXhpGs"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,206247,Hollands Bicycles,977 Orange Ave,Coronado,CA,92118,161-943-5315,ebike,32.6859814,-117.1794818,ChIJdXRc38us3oARQK9i4m7jYfg,,,,,,,,,"{""businessName"": ""Hollands Bicycles"", ""accountNumber"": ""206247"", ""acceptedMaterials"": ""ebike"", ""addressStreet"": ""977 Orange Ave"", ""addressCity"": ""Coronado"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92118"", ""addressLatitude"": ""32.6859814"", ""addressLongitude"": ""-117.1794818"", ""mainPhone"": ""161-943-5315"", ""googlePlaceID"": ""ChIJdXRc38us3oARQK9i4m7jYfg"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,63267,The Home Depot,355 Marketplace Ave,San Diego,CA,92113-1960,619-263-1533,rechargeable,32.70176550000001,-117.1009199,ChIJ-yPQScdT2YAR0_vz0QdYLuI,,,,,,,,,"{""businessName"": ""The Home Depot"", ""accountNumber"": ""63267"", ""acceptedMaterials"": ""rechargeable"", ""addressStreet"": ""355 Marketplace Ave"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92113-1960"", ""addressLatitude"": ""32.70176550000001"", ""addressLongitude"": ""-117.1009199"", ""mainPhone"": ""619-263-1533"", ""googlePlaceID"": ""ChIJ-yPQScdT2YAR0_vz0QdYLuI"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,77884,The Home Depot,1320 Eastlake Pkwy,Chula Vista,CA,91915-4116,161-942-1063,rechargeable,32.6328651,-116.9696051,ChIJHR-bj51F2YARl3KwCO4Rwpc,,,,,,,,,"{""businessName"": ""The Home Depot"", ""accountNumber"": ""77884"", ""acceptedMaterials"": ""rechargeable"", ""addressStreet"": ""1320 Eastlake Pkwy"", ""addressCity"": ""Chula Vista"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""91915-4116"", ""addressLatitude"": ""32.6328651"", ""addressLongitude"": ""-116.9696051"", ""mainPhone"": ""161-942-1063"", ""googlePlaceID"": ""ChIJHR-bj51F2YARl3KwCO4Rwpc"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
San Diego,181608,uBreakiFix,1501 India St,San Diego,CA,92101,161-954-2956,rechargeable;cellphones,32.7212681,-117.1678346,ChIJa6LU1a1U2YAR_hw_ScNF3A0,,,,,,,,,"{""businessName"": ""uBreakiFix"", ""accountNumber"": ""181608"", ""acceptedMaterials"": ""rechargeable;cellphones"", ""addressStreet"": ""1501 India St"", ""addressCity"": ""San Diego"", ""addressStateProvince"": ""CA"", ""addressZIP"": ""92101"", ""addressLatitude"": ""32.7212681"", ""addressLongitude"": ""-117.1678346"", ""mainPhone"": ""161-954-2956"", ""googlePlaceID"": ""ChIJa6LU1a1U2YAR_hw_ScNF3A0"", ""hoursMon"": """", ""hoursTue"": """", ""hoursWed"": """", ""hoursThu"": """", ""hoursFri"": """", ""hoursSat"": """", ""hoursSun"": """", ""dropOffNotes"": """"}"
