epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.473,2.18617,8.21523,1.98247,0.00292,0.04236,0.00391,0.00353,2.66953,8.38124,2.43331,5.06667e-05,5.06667e-05,5.06667e-05
2,320.308,2.06217,6.39694,1.89051,0.00202,0.06092,0.00338,0.00295,2.58329,8.02749,2.29976,0.000100126,0.000100126,0.000100126
3,474.136,2.17949,6.12144,1.95755,0.58047,0.02043,0.00443,0.00404,2.58806,7.7525,2.28902,0.000147011,0.000147011,0.000147011
4,1847.45,2.1239,5.49382,1.87374,0.4865,0.02508,0.00426,0.00349,2.67435,7.23105,2.32857,0.000144417,0.000144417,0.000144417
5,2006.03,2.0484,5.07355,1.83217,0.61415,0.01004,0.00694,0.00619,2.68753,7.03095,2.32144,0.000140556,0.000140556,0.000140556
6,2160.85,1.9283,4.735,1.7299,0.73424,0.01045,0.01041,0.00909,2.6775,6.95207,2.34054,0.000136695,0.000136695,0.000136695
7,2318.94,2.06124,4.60601,1.77101,0.64078,0.01205,0.00541,0.00424,2.63008,6.90707,2.30015,0.000132834,0.000132834,0.000132834
8,2473.58,2.06148,4.46688,1.80604,0.53067,0.01269,0.00841,0.00482,2.65985,6.55314,2.28402,0.000128973,0.000128973,0.000128973
9,2637.62,1.95293,4.26322,1.75162,0.51228,0.01431,0.01215,0.00917,2.6535,6.66457,2.31039,0.000125112,0.000125112,0.000125112
10,2808.4,1.81961,3.909,1.67369,0.48678,0.01942,0.00804,0.00569,2.65491,6.23192,2.35103,0.000121251,0.000121251,0.000121251
11,2983.24,1.78628,3.8226,1.63281,0.49319,0.01974,0.00654,0.00509,2.58663,6.46348,2.32896,0.00011739,0.00011739,0.00011739
12,3198.78,1.76262,3.6315,1.63666,0.44504,0.01696,0.0058,0.00488,2.64767,6.26513,2.30632,0.000113529,0.000113529,0.000113529
13,3384.2,1.88569,3.72049,1.72351,0.51251,0.01175,0.00521,0.00453,2.65202,6.32008,2.27459,0.000109668,0.000109668,0.000109668
14,3567.67,1.99012,3.92084,1.7452,0.59044,0.01003,0.00719,0.00658,2.67264,6.30488,2.28155,0.000105807,0.000105807,0.000105807
15,3757.4,1.73041,3.41614,1.5934,0.4183,0.01284,0.00741,0.00667,2.64186,6.20004,2.25988,0.000101946,0.000101946,0.000101946
16,3938.32,1.82991,3.45973,1.67274,0.36979,0.01878,0.00681,0.00603,2.58321,6.35768,2.25381,9.8085e-05,9.8085e-05,9.8085e-05
17,4123.66,1.70144,3.32801,1.59041,0.39567,0.01498,0.00645,0.00537,2.63297,6.36005,2.27885,9.4224e-05,9.4224e-05,9.4224e-05
18,4307.2,1.67275,3.18414,1.56623,0.36976,0.01287,0.00776,0.00613,2.5971,6.28874,2.27239,9.0363e-05,9.0363e-05,9.0363e-05
19,4485.72,1.74327,3.22828,1.5738,0.39545,0.01524,0.00732,0.00532,2.54865,6.53672,2.23658,8.6502e-05,8.6502e-05,8.6502e-05
